Naptan_Atco,Stop_Name
490007943N,HAYES / GEORGE LANE_K
490003060E,ABINGER ROAD
490003060W,ABINGER ROAD
490000240LL,TURNHAM GREEN STATION <>_LL
490000240MM,TURNHAM GREEN STATION <>_MM
490006872E,FLANCHFORD ROAD_SA
490006872W,FLANCHFORD ROAD_SK
490013487E,THE ORCHARD_L
490011405W,RAMILLIES ROAD_U
490003076W,ACTON GREEN_V
490012617E,STATION ROAD / CHINGFORD STATION #_E
490008949N,LANGLEY AVENUE_SA
490008949S,LANGLEY AVENUE_SG
490011783W,RUISLIP LIDO
490012580N,ST ANTHONY'S HOSPITAL_HL
490013608S,TUDOR DRIVE_EH
490016573N,CHENIES PLACE
490016573S,CHENIES PLACE
490011756E,ROYAL COLLEGE STREET_U
490015382N2,PRATT STREET_Q
490011419H,CAMDEN ROAD STATION #_H
490001045E,ROYAL COLLEGE STREET / IVOR STREET_B
490008663W,KENTISH TOWN ROAD_KK
490004894L,KENTISH TOWN POST OFFICE_KE
490007082K,KENTISH TOWN POST OFFICE_KC
490006943N,GREENWOOD CENTRE_KH
490006943E,FORTESS ROAD_KJ
490008660N,LADY SOMERSET ROAD_GY
490008660S,GREENWOOD CENTRE
490015367S,LADY SOMERSET ROAD_GW
490012082B,COMPAYNE GARDENS_B
490007308N,GORDON HOUSE ROAD_GZ
490005974S,GORDON HOUSE ROAD_GN
490014902N,WILLIAM ELLIS SCHOOL_GF
490014697S,WILLIAM ELLIS SCHOOL_GM
490010852N,PARLIAMENT HILL FIELDS_GH
490010852S2,PARLIAMENT HILL FIELDS_GK
490008661N,FORTESS WALK_TP
490008662G,FORTESS WALK_KA
490008904N1,LADY SOMERSET ROAD_TR
490008904S1,LADY SOMERSET ROAD_TQ
490009985N,MONNERY ROAD_TU
490009985S,MONNERY ROAD_TM
490003989Z,PEMBERTON GARDENS_S
490014875C,WOOD LANE / HIGHGATE STATION <>_E
490003989Y,PEMBERTON GARDENS_T
490006798CK,FERDINAND STREET_CK
490006798CL,FERDINAND STREET_CL
490014875D,WOOD LANE / HIGHGATE STATION <>_V
490011200N,PRINCE OF WALES ROAD_KS
490012765S,PRINCE OF WALES ROAD_KW
490011330N,QUEEN'S CRESCENT_KZ
490011330S,GRAFTON TERRACE_KU
490012651S,ST DOMINIC'S PRIORY_GS
490009616N,MANSFIELD ROAD_GT
490015188C,MUSWELL HILL PRIMARY SCHOOL_C
490009204E,MANSFIELD ROAD_GA
490009017N,LAWN ROAD_GU
490011760W,ROYAL FREE HOSPITAL_Z
490012280B,SOUTH END GREEN_B
490015246N,KENTISH TOWN ROAD_KP
490001165C,KENTISH TOWN WEST STATION >LOL<_KR
490015186B,MUSWELL HILL_B
